# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.022000 0.001265
1.500000 0.080000 0.002730
2.500000 0.112909 0.003579
3.500000 0.124909 0.003285
4.500000 0.132091 0.002661
5.500000 0.127545 0.003393
6.500000 0.108091 0.003149
7.500000 0.085909 0.003704
8.500000 0.069909 0.002395
9.500000 0.052273 0.002608
10.500000 0.037182 0.002604
11.500000 0.018182 0.001949
12.500000 0.010091 0.001430
13.500000 0.008727 0.001329
14.500000 0.003818 0.000658
15.500000 0.001636 0.000364
16.500000 0.001182 0.000400
17.500000 0.001000 0.000467
18.500000 0.001000 0.000426
19.500000 0.000182 0.000122
20.500000 0.000364 0.000364
21.500000 0.000545 0.000366
22.500000 0.000091 0.000091
23.500000 0.000000 0.000000
24.500000 0.000091 0.000091
25.500000 0.000000 0.000000
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000091 0.000091
29.500000 0.000000 0.000000
30.500000 0.000091 0.000091
31.500000 0.000091 0.000091
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000000 0.000000
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
