# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.026818 0.001594
1.500000 0.099636 0.003064
2.500000 0.149909 0.003672
3.500000 0.161364 0.003514
4.500000 0.150364 0.003810
5.500000 0.126455 0.002701
6.500000 0.096545 0.003052
7.500000 0.067000 0.001572
8.500000 0.047182 0.003300
9.500000 0.030818 0.003453
10.500000 0.020273 0.002261
11.500000 0.010727 0.002297
12.500000 0.005909 0.001781
13.500000 0.002727 0.001266
14.500000 0.002364 0.001201
15.500000 0.000727 0.000428
16.500000 0.000273 0.000195
17.500000 0.000182 0.000122
18.500000 0.000364 0.000279
19.500000 0.000364 0.000203
20.500000 0.000000 0.000000
21.500000 0.000000 0.000000
22.500000 0.000000 0.000000
23.500000 0.000000 0.000000
24.500000 0.000000 0.000000
25.500000 0.000000 0.000000
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000000 0.000000
29.500000 0.000000 0.000000
30.500000 0.000000 0.000000
31.500000 0.000000 0.000000
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000000 0.000000
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
