# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.321919149612856437e+01 1.946271316865554324e-01
6.000000000000000000e+01 1.341847310666556403e+01 1.849039458008686909e-01
1.000000000000000000e+02 1.338793611453872323e+01 1.860304615559496000e-01
1.400000000000000000e+02 1.310233343887559521e+01 1.516362978740160572e-01
1.800000000000000000e+02 1.352125688493119071e+01 1.622749158040401041e-01
2.200000000000000000e+02 1.313024664845607248e+01 1.374692636348349706e-01
2.600000000000000000e+02 1.323323356933584094e+01 1.409535791407056093e-01
3.000000000000000000e+02 1.358592929067662602e+01 1.408299494159355736e-01
3.400000000000000000e+02 1.329368086333039223e+01 1.381049516038448666e-01
3.800000000000000000e+02 1.301013513784204711e+01 1.330916487121199254e-01
4.200000000000000000e+02 1.326357846225377202e+01 1.494125726719269798e-01
4.600000000000000000e+02 1.310429471079787689e+01 1.500265714784936588e-01
5.000000000000000000e+02 1.336964070106255065e+01 1.367835538723225219e-01
5.400000000000000000e+02 1.327772732520458732e+01 1.220533508508510473e-01
5.800000000000000000e+02 1.318445355282914200e+01 1.194123936708803985e-01
6.200000000000000000e+02 1.313851416229039692e+01 1.091249402497010690e-01
6.600000000000000000e+02 1.343686694506214785e+01 1.128612460201555701e-01
7.000000000000000000e+02 1.317528098526817892e+01 1.615343241430413357e-01
7.400000000000000000e+02 1.289241918989053381e+01 8.218480985262911764e-02
7.800000000000000000e+02 1.286725022665379470e+01 4.729684374559734589e-02
8.200000000000000000e+02 1.292575705908563855e+01 3.049559304942768903e-02
8.600000000000000000e+02 1.289989602064276930e+01 2.599216035750368317e-02
9.000000000000000000e+02 1.294025932261260436e+01 2.517588636508013081e-02
9.400000000000000000e+02 1.301706038881339467e+01 1.191612426979534595e-02
9.800000000000000000e+02 1.323971267628342297e+01 7.667792019424211902e-03
1.020000000000000000e+03 1.323553730320605837e+01 7.659739784358972348e-03
1.060000000000000000e+03 1.301092701737334068e+01 1.213434549478144796e-02
1.100000000000000000e+03 1.291794761864251484e+01 2.740187465915433496e-02
1.140000000000000000e+03 1.292953918575749128e+01 3.224928371602453492e-02
1.180000000000000000e+03 1.285846649038817802e+01 3.884818044300187428e-02
1.220000000000000000e+03 1.278389676472245107e+01 6.225970693123722421e-02
1.260000000000000000e+03 1.278143771622125868e+01 1.081176753295790688e-01
1.300000000000000000e+03 1.282952659596255707e+01 1.415432895364532595e-01
1.340000000000000000e+03 1.344973444869737200e+01 1.264587538809072709e-01
1.380000000000000000e+03 1.348182794522563377e+01 1.226917244570399496e-01
1.420000000000000000e+03 1.343408158529413576e+01 1.209706405474955254e-01
1.460000000000000000e+03 1.312425613409748593e+01 1.144636965831555137e-01
1.500000000000000000e+03 1.326160109772335893e+01 1.164685804501297550e-01
1.540000000000000000e+03 1.308243954111206797e+01 1.286112047252503110e-01
1.580000000000000000e+03 1.310487438798515925e+01 1.443117616577679341e-01
1.620000000000000000e+03 1.329737458087891078e+01 1.703202753407685732e-01
1.660000000000000000e+03 1.324186797631988988e+01 1.823176794591376271e-01
1.700000000000000000e+03 1.331003913221911006e+01 1.703247616678996157e-01
1.740000000000000000e+03 1.338966601728627914e+01 1.804321637089174868e-01
1.780000000000000000e+03 1.304609583379622784e+01 1.721389175225963852e-01
1.820000000000000000e+03 1.316248116091281872e+01 1.896729139414785881e-01
1.860000000000000000e+03 1.320412984283201574e+01 2.321993031553454545e-01
1.900000000000000000e+03 1.307721616977022094e+01 1.929624737532727174e-01
1.940000000000000000e+03 1.307318141346863349e+01 1.662861001556652785e-01
1.980000000000000000e+03 1.304669587197116520e+01 2.146552745412093344e-01
