# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.028698428671807008e+01 1.172648076239591192e-01
6.000000000000000000e+01 1.024925269776582581e+01 9.922992808023906042e-02
1.000000000000000000e+02 1.042909949377454204e+01 1.125615919561358813e-01
1.400000000000000000e+02 1.031853478135513669e+01 1.079275547232377563e-01
1.800000000000000000e+02 1.039771479642814178e+01 1.097133198574336693e-01
2.200000000000000000e+02 1.028982750522269107e+01 9.174575559963690785e-02
2.600000000000000000e+02 1.026354610993070438e+01 9.726890848461401673e-02
3.000000000000000000e+02 1.032985091952095047e+01 1.031130648410499284e-01
3.400000000000000000e+02 1.020620100511251493e+01 8.715146584713542866e-02
3.800000000000000000e+02 1.042447756121184277e+01 9.142627918489415473e-02
4.200000000000000000e+02 1.017158184030486723e+01 7.619502600256032598e-02
4.600000000000000000e+02 1.027753050910195753e+01 7.464598450473058922e-02
5.000000000000000000e+02 1.034912757016543772e+01 7.097254388485797760e-02
5.400000000000000000e+02 1.030123853608156992e+01 7.272614296007616497e-02
5.800000000000000000e+02 1.033171600097343124e+01 7.441005618150087209e-02
6.200000000000000000e+02 1.024679576502432177e+01 6.867327503380155074e-02
6.600000000000000000e+02 1.026866323536247272e+01 7.126078763749556233e-02
7.000000000000000000e+02 1.025051066381059606e+01 7.841076474393700313e-02
7.400000000000000000e+02 9.934380606249700207e+00 5.782864351223766797e-02
7.800000000000000000e+02 1.003139258369626674e+01 3.108532094694150053e-02
8.200000000000000000e+02 1.002338432348622455e+01 2.330675996092167190e-02
8.600000000000000000e+02 1.000316761166471657e+01 2.130861338986391254e-02
9.000000000000000000e+02 1.002437204560452955e+01 1.856987775508685268e-02
9.400000000000000000e+02 1.014939984141720863e+01 8.422230463300445918e-03
9.800000000000000000e+02 1.027558884662414052e+01 5.676734427424032919e-03
1.020000000000000000e+03 1.026863390776937912e+01 5.638473389339804936e-03
1.060000000000000000e+03 1.014545498321501960e+01 8.227975257458726432e-03
1.100000000000000000e+03 1.005556525947093682e+01 1.977942076533535307e-02
1.140000000000000000e+03 1.003089117055698765e+01 2.196449373937002167e-02
1.180000000000000000e+03 9.983965130090304285e+00 2.404776290105379091e-02
1.220000000000000000e+03 1.004124815576957097e+01 3.444273055680333734e-02
1.260000000000000000e+03 1.003040317093030964e+01 5.792143499601835194e-02
1.300000000000000000e+03 1.022038633843531308e+01 1.022117593316046597e-01
1.340000000000000000e+03 1.010509252849286810e+01 7.586301963238967216e-02
1.380000000000000000e+03 1.027587388192484497e+01 8.023428927968370705e-02
1.420000000000000000e+03 1.035794673903422947e+01 8.432665282621996938e-02
1.460000000000000000e+03 1.028661218572189995e+01 8.415719136296183345e-02
1.500000000000000000e+03 1.014065483717341998e+01 9.720726498977283470e-02
1.540000000000000000e+03 1.014709614162261531e+01 1.063967653857737644e-01
1.580000000000000000e+03 1.015222420908695433e+01 9.796522218516105773e-02
1.620000000000000000e+03 1.017860834306402040e+01 1.048793593526288898e-01
1.660000000000000000e+03 1.035131778980763606e+01 1.050728528332273842e-01
1.700000000000000000e+03 1.017439173563966115e+01 1.016161231251709873e-01
1.740000000000000000e+03 1.045280049780380871e+01 1.100324244810438890e-01
1.780000000000000000e+03 1.018842048569089265e+01 1.078028050572333169e-01
1.820000000000000000e+03 1.026387868970640760e+01 1.135877855020028249e-01
1.860000000000000000e+03 1.031097476194062246e+01 1.090240831197036991e-01
1.900000000000000000e+03 1.035064162587413961e+01 1.110948408286606126e-01
1.940000000000000000e+03 9.966854325539907578e+00 1.071462642084246575e-01
1.980000000000000000e+03 1.035766021383592062e+01 1.119201682491233751e-01
