# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.031273 0.001408
1.500000 0.099273 0.002842
2.500000 0.143091 0.003955
3.500000 0.163182 0.003435
4.500000 0.148545 0.001637
5.500000 0.126273 0.003527
6.500000 0.100727 0.003550
7.500000 0.067455 0.002695
8.500000 0.045182 0.003002
9.500000 0.026636 0.001460
10.500000 0.016818 0.001566
11.500000 0.012182 0.001306
12.500000 0.007364 0.001316
13.500000 0.005727 0.001402
14.500000 0.003636 0.001138
15.500000 0.001182 0.000569
16.500000 0.000455 0.000282
17.500000 0.000091 0.000091
18.500000 0.000364 0.000203
19.500000 0.000182 0.000122
20.500000 0.000000 0.000000
21.500000 0.000091 0.000091
22.500000 0.000000 0.000000
23.500000 0.000000 0.000000
24.500000 0.000000 0.000000
25.500000 0.000091 0.000091
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000091 0.000091
29.500000 0.000000 0.000000
30.500000 0.000000 0.000000
31.500000 0.000000 0.000000
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000091 0.000091
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
