# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.033182 0.001292
1.500000 0.107091 0.002675
2.500000 0.154909 0.003607
3.500000 0.161000 0.004088
4.500000 0.149364 0.004842
5.500000 0.127455 0.002598
6.500000 0.089727 0.002806
7.500000 0.068000 0.003205
8.500000 0.040545 0.003137
9.500000 0.025000 0.001829
10.500000 0.017182 0.000872
11.500000 0.010636 0.002233
12.500000 0.009000 0.001128
13.500000 0.004091 0.001124
14.500000 0.000909 0.000415
15.500000 0.000818 0.000483
16.500000 0.000273 0.000273
17.500000 0.000000 0.000000
18.500000 0.000000 0.000000
19.500000 0.000091 0.000091
20.500000 0.000091 0.000091
21.500000 0.000000 0.000000
22.500000 0.000000 0.000000
23.500000 0.000000 0.000000
24.500000 0.000091 0.000091
25.500000 0.000182 0.000182
26.500000 0.000364 0.000364
27.500000 0.000000 0.000000
28.500000 0.000000 0.000000
29.500000 0.000000 0.000000
30.500000 0.000000 0.000000
31.500000 0.000000 0.000000
32.500000 0.000000 0.000000
33.500000 0.000000 0.000000
34.500000 0.000000 0.000000
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
