# Bin_center(Angstroms) Mean_Distribution Error
0.500000 0.029364 0.002059
1.500000 0.091000 0.003368
2.500000 0.126091 0.002451
3.500000 0.137909 0.004115
4.500000 0.131182 0.003753
5.500000 0.118545 0.002451
6.500000 0.097182 0.002916
7.500000 0.073818 0.002219
8.500000 0.059727 0.002162
9.500000 0.042455 0.001171
10.500000 0.031636 0.002348
11.500000 0.019545 0.001856
12.500000 0.013909 0.002270
13.500000 0.011273 0.002615
14.500000 0.004818 0.001271
15.500000 0.003636 0.000937
16.500000 0.002818 0.000736
17.500000 0.001182 0.000377
18.500000 0.000545 0.000282
19.500000 0.001000 0.000486
20.500000 0.000273 0.000273
21.500000 0.000636 0.000310
22.500000 0.000273 0.000141
23.500000 0.000091 0.000091
24.500000 0.000182 0.000122
25.500000 0.000091 0.000091
26.500000 0.000000 0.000000
27.500000 0.000000 0.000000
28.500000 0.000000 0.000000
29.500000 0.000091 0.000091
30.500000 0.000273 0.000273
31.500000 0.000000 0.000000
32.500000 0.000091 0.000091
33.500000 0.000182 0.000182
34.500000 0.000091 0.000091
35.500000 0.000000 0.000000
36.500000 0.000000 0.000000
37.500000 0.000000 0.000000
38.500000 0.000000 0.000000
39.500000 0.000000 0.000000
