# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.353499113941001752e+01 2.089059943304046041e-01
6.000000000000000000e+01 1.302336561613273247e+01 2.676899615249283548e-01
1.000000000000000000e+02 1.338475065892195737e+01 2.236344974979031508e-01
1.400000000000000000e+02 1.312711020494682046e+01 2.168489415519750108e-01
1.800000000000000000e+02 1.292289272160745739e+01 2.829160885711403117e-01
2.200000000000000000e+02 1.302155684746645292e+01 2.891390858870713787e-01
2.600000000000000000e+02 1.359874412303188862e+01 3.461517253382467851e-01
3.000000000000000000e+02 1.321716903494480455e+01 3.094553584025037662e-01
3.400000000000000000e+02 1.333335613218594595e+01 2.908509076846222952e-01
3.800000000000000000e+02 1.275166346470663647e+01 3.018418389090166132e-01
4.200000000000000000e+02 1.281891703061219268e+01 2.831892550891503824e-01
4.600000000000000000e+02 1.345631680606213898e+01 2.622367651050391268e-01
5.000000000000000000e+02 1.376693004491151129e+01 2.685588350557950865e-01
5.400000000000000000e+02 1.330734584189507608e+01 4.063389877859150401e-01
5.800000000000000000e+02 1.308765238595250402e+01 2.704608526276262026e-01
6.200000000000000000e+02 1.351560873637202143e+01 3.224032264621127797e-01
6.600000000000000000e+02 1.300056122869844977e+01 3.082939392210731766e-01
7.000000000000000000e+02 1.307067924144367055e+01 4.248712725607357577e-01
7.400000000000000000e+02 1.302911688037604421e+01 2.071114489401922609e-01
7.800000000000000000e+02 1.286091428200213294e+01 1.105443441937885851e-01
8.200000000000000000e+02 1.262335565808066029e+01 7.220902768898385116e-02
8.600000000000000000e+02 1.267545369072344918e+01 4.859460475688832243e-02
9.000000000000000000e+02 1.277264575011053438e+01 3.748077936047781999e-02
9.400000000000000000e+02 1.297057872391265221e+01 1.151167038080190726e-02
9.800000000000000000e+02 1.323818387560170606e+01 7.104904692931933614e-03
1.020000000000000000e+03 1.320257132510361231e+01 6.999213053904394626e-03
1.060000000000000000e+03 1.297314637687228966e+01 1.172437971320034432e-02
1.100000000000000000e+03 1.263048333549482649e+01 3.599948904126655524e-02
1.140000000000000000e+03 1.277170205853710350e+01 3.904468257553607435e-02
1.180000000000000000e+03 1.273453686369996340e+01 4.117988617139713842e-02
1.220000000000000000e+03 1.268963180843519645e+01 4.739176921523555880e-02
1.260000000000000000e+03 1.269023714579414630e+01 9.190605067194833333e-02
1.300000000000000000e+03 1.284560600113576179e+01 1.358534564912695086e-01
1.340000000000000000e+03 1.337325531099555320e+01 1.257221777720841926e-01
1.380000000000000000e+03 1.349234105647531301e+01 1.216844053877235016e-01
1.420000000000000000e+03 1.319229286938884549e+01 1.176472474227499426e-01
1.460000000000000000e+03 1.339660393700537888e+01 1.284058385409675429e-01
1.500000000000000000e+03 1.319381403556553778e+01 1.310455936816195266e-01
1.540000000000000000e+03 1.321526409477396591e+01 1.276610840115995904e-01
1.580000000000000000e+03 1.346108486639220914e+01 1.414358301695640696e-01
1.620000000000000000e+03 1.330873152927116365e+01 1.423949348353018285e-01
1.660000000000000000e+03 1.340096279077048003e+01 1.751078250478217690e-01
1.700000000000000000e+03 1.327407036311092448e+01 1.661324203843999869e-01
1.740000000000000000e+03 1.324496178490326415e+01 1.833746255378690126e-01
1.780000000000000000e+03 1.298907308942632177e+01 1.750099552225464483e-01
1.820000000000000000e+03 1.321935388258171784e+01 1.759404786798827447e-01
1.860000000000000000e+03 1.313211970339461487e+01 1.796971844549533903e-01
1.900000000000000000e+03 1.317521257458446549e+01 2.022401366789727817e-01
1.940000000000000000e+03 1.310903448065912080e+01 2.052953769952027552e-01
1.980000000000000000e+03 1.352883765452420661e+01 2.386026142447388032e-01
