# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.030128568823731960e+01 9.332560784202666160e-02
6.000000000000000000e+01 1.014534587797041354e+01 9.166866909582320477e-02
1.000000000000000000e+02 1.034496623954542827e+01 1.041916437286788399e-01
1.400000000000000000e+02 1.023235075146636142e+01 1.034386878921167846e-01
1.800000000000000000e+02 1.042383560953660471e+01 9.867255068018189468e-02
2.200000000000000000e+02 1.014595409504042678e+01 1.033007829022707103e-01
2.600000000000000000e+02 1.012417886254362109e+01 9.909385774623788445e-02
3.000000000000000000e+02 1.016690523185166484e+01 1.130356591682456363e-01
3.400000000000000000e+02 1.031516103246778471e+01 1.153861877464802815e-01
3.800000000000000000e+02 1.023988071753985807e+01 1.049550137892825835e-01
4.200000000000000000e+02 1.040527724390354969e+01 1.089173947683448468e-01
4.600000000000000000e+02 1.030049185240699394e+01 1.102125729505969431e-01
5.000000000000000000e+02 1.026259072990383459e+01 1.025089127944187606e-01
5.400000000000000000e+02 1.033894388290093858e+01 1.108345889670635243e-01
5.800000000000000000e+02 1.022621833885692055e+01 1.094547262376517616e-01
6.200000000000000000e+02 1.033255379600987212e+01 9.621278068201195854e-02
6.600000000000000000e+02 1.023279048865498098e+01 1.031594261343664332e-01
7.000000000000000000e+02 1.015520759161297804e+01 1.173365637235441600e-01
7.400000000000000000e+02 1.002716851054168856e+01 7.576758149152650057e-02
7.800000000000000000e+02 9.988279163399415239e+00 3.690136554860810186e-02
8.200000000000000000e+02 1.002180557445514708e+01 2.764935336145572797e-02
8.600000000000000000e+02 1.001623251854522323e+01 2.191493907857215012e-02
9.000000000000000000e+02 1.005954552901275711e+01 1.966769722905300360e-02
9.400000000000000000e+02 1.015579042135189169e+01 8.443031652508144885e-03
9.800000000000000000e+02 1.026495546563247352e+01 5.626775328017207672e-03
1.020000000000000000e+03 1.027462373785119354e+01 5.791792316462338573e-03
1.060000000000000000e+03 1.014379611814531579e+01 8.196753784544869373e-03
1.100000000000000000e+03 1.002921734325335734e+01 1.853052058757244380e-02
1.140000000000000000e+03 1.007576385919307960e+01 2.059350900946337048e-02
1.180000000000000000e+03 9.997751442947217626e+00 2.387635666215870769e-02
1.220000000000000000e+03 9.993055734405649204e+00 3.091865732216147328e-02
1.260000000000000000e+03 1.010122606390097033e+01 5.479224404033715412e-02
1.300000000000000000e+03 1.024788201269353927e+01 7.049694726059345384e-02
1.340000000000000000e+03 1.031111622793130067e+01 5.427869591347884992e-02
1.380000000000000000e+03 1.024598850331739186e+01 5.285915109483158014e-02
1.420000000000000000e+03 1.020912177021001455e+01 5.489050291554457839e-02
1.460000000000000000e+03 1.010237855452290923e+01 5.416064483067644514e-02
1.500000000000000000e+03 1.032600224644519393e+01 5.969315063717658965e-02
1.540000000000000000e+03 1.031769915839046092e+01 6.203883433132002106e-02
1.580000000000000000e+03 1.024516970226882506e+01 6.008438493286169524e-02
1.620000000000000000e+03 1.019339395441127749e+01 6.229698315610766174e-02
1.660000000000000000e+03 1.015141429250018135e+01 6.777017891714422204e-02
1.700000000000000000e+03 1.026058957307298591e+01 7.057782737682967433e-02
1.740000000000000000e+03 1.032338422328103356e+01 6.997083347186361379e-02
1.780000000000000000e+03 1.027719820542418461e+01 7.791058162000963350e-02
1.820000000000000000e+03 1.022246402258585007e+01 7.806894625124206899e-02
1.860000000000000000e+03 1.026007667070270202e+01 8.439019100427841424e-02
1.900000000000000000e+03 1.034317897469003533e+01 8.958012928845907052e-02
1.940000000000000000e+03 1.028947019252962036e+01 9.093010805992482459e-02
1.980000000000000000e+03 1.021430720262300618e+01 8.613873553812841088e-02
