# bin_center	<Rg>	+/-
2.000000000000000000e+01 6.535571236774896597e+00 1.967874646467251618e-02
6.000000000000000000e+01 6.521037431514129068e+00 1.869122463963982309e-02
1.000000000000000000e+02 6.510451999498911846e+00 1.957153627900465320e-02
1.400000000000000000e+02 6.516570391166151666e+00 1.840652104129358521e-02
1.800000000000000000e+02 6.521789367212044830e+00 1.889241658794627715e-02
2.200000000000000000e+02 6.551426448455120344e+00 1.872878552225509807e-02
2.600000000000000000e+02 6.510829775994669610e+00 1.807962737122286584e-02
3.000000000000000000e+02 6.510966289210996294e+00 1.867374532682826785e-02
3.400000000000000000e+02 6.513396198141387927e+00 1.854696274397827846e-02
3.800000000000000000e+02 6.504091260265913554e+00 1.854018068383607443e-02
4.200000000000000000e+02 6.503427822568157879e+00 1.813583615448707137e-02
4.600000000000000000e+02 6.546255049521613856e+00 1.759371260661062725e-02
5.000000000000000000e+02 6.516635356758084363e+00 1.773287073394666166e-02
5.400000000000000000e+02 6.524939579893349162e+00 1.727486450914236457e-02
5.800000000000000000e+02 6.523203182108922249e+00 1.715849113271932999e-02
6.200000000000000000e+02 6.499670827387591387e+00 1.613988821865043610e-02
6.600000000000000000e+02 6.550435124751695426e+00 1.680269712913898261e-02
7.000000000000000000e+02 6.531524919096396431e+00 1.870664354600612422e-02
7.400000000000000000e+02 6.474382260895372276e+00 1.511618049602072092e-02
7.800000000000000000e+02 6.476020236977489297e+00 1.062420390291104327e-02
8.200000000000000000e+02 6.445240750505404570e+00 8.351783239886860152e-03
8.600000000000000000e+02 6.470814073303764680e+00 7.204726871810308679e-03
9.000000000000000000e+02 6.460706865503721197e+00 6.377043603277700139e-03
9.400000000000000000e+02 6.510428922361716886e+00 4.076139844931337894e-03
9.800000000000000000e+02 6.552715295374382798e+00 3.190780212194033443e-03
1.020000000000000000e+03 6.548189438978251786e+00 3.160228137940765750e-03
1.060000000000000000e+03 6.500364547584768005e+00 4.004489728880473304e-03
1.100000000000000000e+03 6.468712674273175089e+00 6.347633523096879275e-03
1.140000000000000000e+03 6.456941743507844222e+00 7.026627385950110979e-03
1.180000000000000000e+03 6.459940106672272364e+00 8.255349425783480022e-03
1.220000000000000000e+03 6.455644087723078961e+00 1.077912316100255140e-02
1.260000000000000000e+03 6.437486543624003410e+00 1.617007737858760022e-02
1.300000000000000000e+03 6.485193040419368060e+00 1.969487115910241101e-02
1.340000000000000000e+03 6.497434819729612343e+00 1.640541849078212822e-02
1.380000000000000000e+03 6.519999570316734605e+00 1.646291096840521440e-02
1.420000000000000000e+03 6.529803784320225901e+00 1.639608683891389043e-02
1.460000000000000000e+03 6.512288012092697365e+00 1.702472030773776249e-02
1.500000000000000000e+03 6.508682046655157372e+00 1.754237006254480424e-02
1.540000000000000000e+03 6.521349928226337411e+00 1.828381292557574103e-02
1.580000000000000000e+03 6.503814976658248703e+00 1.834384978834532887e-02
1.620000000000000000e+03 6.542892399407351789e+00 1.940694999325287898e-02
1.660000000000000000e+03 6.522466999606773896e+00 1.885548342237265002e-02
1.700000000000000000e+03 6.527084960484870635e+00 1.922686493020329609e-02
1.740000000000000000e+03 6.575217768810803776e+00 1.954925994478378878e-02
1.780000000000000000e+03 6.525093391638135287e+00 1.936689340336970877e-02
1.820000000000000000e+03 6.533357544439869713e+00 1.937042235398156106e-02
1.860000000000000000e+03 6.516263602599833504e+00 1.925781227688448324e-02
1.900000000000000000e+03 6.499262158036957615e+00 1.896598026890941938e-02
1.940000000000000000e+03 6.514673132098501185e+00 1.908510690154293851e-02
1.980000000000000000e+03 6.546809716317289585e+00 1.914130896357311984e-02
