# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.840943771353220271e+01 8.482080758705166923e-02
6.000000000000000000e+01 1.843826461928533433e+01 7.982470043396970583e-02
1.000000000000000000e+02 1.857976730919450858e+01 7.799777491404920327e-02
1.400000000000000000e+02 1.865284578575749563e+01 7.426196976982131492e-02
1.800000000000000000e+02 1.843333899235719286e+01 8.036619983629328390e-02
2.200000000000000000e+02 1.851494326451687300e+01 7.666460394280152912e-02
2.600000000000000000e+02 1.854687402237570737e+01 7.534603973824934020e-02
3.000000000000000000e+02 1.844021863440731224e+01 7.467721283310911617e-02
3.400000000000000000e+02 1.847861043121011093e+01 7.024082307617422749e-02
3.800000000000000000e+02 1.838721419747790264e+01 6.903312411892635614e-02
4.200000000000000000e+02 1.846015840754828830e+01 6.424755466172425711e-02
4.600000000000000000e+02 1.842001661855237415e+01 6.136350768078235873e-02
5.000000000000000000e+02 1.836894063989003101e+01 6.131725570665003122e-02
5.400000000000000000e+02 1.844489380678175650e+01 5.773771677662434959e-02
5.800000000000000000e+02 1.837456155338560038e+01 5.572680427100329403e-02
6.200000000000000000e+02 1.833786948048560461e+01 5.349692237851812193e-02
6.600000000000000000e+02 1.840946917325549137e+01 5.475618296770164845e-02
7.000000000000000000e+02 1.848065118263633266e+01 7.289134647061058792e-02
7.400000000000000000e+02 1.849300022813187994e+01 5.351437233183670844e-02
7.800000000000000000e+02 1.836177838464618262e+01 3.510609687744000590e-02
8.200000000000000000e+02 1.839775288979060974e+01 2.523521641430307924e-02
8.600000000000000000e+02 1.839285281700956176e+01 2.038851539362553436e-02
9.000000000000000000e+02 1.838864801852733422e+01 1.726543220894972974e-02
9.400000000000000000e+02 1.843428656743561334e+01 7.940643730817129736e-03
9.800000000000000000e+02 1.841512782517991198e+01 5.592242937225856692e-03
1.020000000000000000e+03 1.839801255312939077e+01 5.569882950336006028e-03
1.060000000000000000e+03 1.846274588201480071e+01 8.168774997930335763e-03
1.100000000000000000e+03 1.837320536319127839e+01 1.566373745194633155e-02
1.140000000000000000e+03 1.838890564737283739e+01 1.579855126455258219e-02
1.180000000000000000e+03 1.835935284046578886e+01 2.048853333298344959e-02
1.220000000000000000e+03 1.834770135286296977e+01 2.836270318899720283e-02
1.260000000000000000e+03 1.843065251066061094e+01 4.834752165367518784e-02
1.300000000000000000e+03 1.848740950242403258e+01 7.705693564811998131e-02
1.340000000000000000e+03 1.831625199736964049e+01 6.827819711184909823e-02
1.380000000000000000e+03 1.842878537713405152e+01 5.526520453657982751e-02
1.420000000000000000e+03 1.835198746058348362e+01 6.262621180766120288e-02
1.460000000000000000e+03 1.846609071033618221e+01 6.097792565749208388e-02
1.500000000000000000e+03 1.844680675826218774e+01 6.463210831210422502e-02
1.540000000000000000e+03 1.845097797010179264e+01 6.900460909128790232e-02
1.580000000000000000e+03 1.838859235200268927e+01 6.924844927219947488e-02
1.620000000000000000e+03 1.848738843286427880e+01 7.347786026981020790e-02
1.660000000000000000e+03 1.837140445988720572e+01 8.527467022455580137e-02
1.700000000000000000e+03 1.838513052021925631e+01 8.408056591889613574e-02
1.740000000000000000e+03 1.837509536529442045e+01 8.387352299912469167e-02
1.780000000000000000e+03 1.834434767797170451e+01 8.332682883018685538e-02
1.820000000000000000e+03 1.830214712773999253e+01 8.272032589425981630e-02
1.860000000000000000e+03 1.854989812383751868e+01 8.412861089330540831e-02
1.900000000000000000e+03 1.847112358679950006e+01 8.539172741408908307e-02
1.940000000000000000e+03 1.845015503988035022e+01 8.588474979138019383e-02
1.980000000000000000e+03 1.840658998791686685e+01 8.168464019773348517e-02
