# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.024922628127303703e+01 9.845199871305591877e-02
6.000000000000000000e+01 1.033088997283167920e+01 1.079018303151016295e-01
1.000000000000000000e+02 1.031649274219073043e+01 1.063579693225615574e-01
1.400000000000000000e+02 1.020033022203100082e+01 9.987984926485161952e-02
1.800000000000000000e+02 1.023556645341139770e+01 1.008307686207950832e-01
2.200000000000000000e+02 1.015213536832362706e+01 1.029485189007541546e-01
2.600000000000000000e+02 1.014664996407884878e+01 1.005309367958634181e-01
3.000000000000000000e+02 1.022645187699630576e+01 9.981639398855796097e-02
3.400000000000000000e+02 1.025397185194558958e+01 9.269741367299182133e-02
3.800000000000000000e+02 1.018115005885340985e+01 9.725953304473422545e-02
4.200000000000000000e+02 1.035644203147599285e+01 9.560124465043956521e-02
4.600000000000000000e+02 1.027674730834245942e+01 9.492089974409696762e-02
5.000000000000000000e+02 1.014608069490229347e+01 8.760883959021172063e-02
5.400000000000000000e+02 1.011191006978642548e+01 9.315411089026083558e-02
5.800000000000000000e+02 1.026114432380787456e+01 8.477769337055238164e-02
6.200000000000000000e+02 1.023118789795157468e+01 7.523235292440563771e-02
6.600000000000000000e+02 1.030620346769541129e+01 8.173255444532263880e-02
7.000000000000000000e+02 1.020797683130334477e+01 1.069420272155977847e-01
7.400000000000000000e+02 1.007522550535649231e+01 6.096487916119060907e-02
7.800000000000000000e+02 1.001528353255703863e+01 3.495393371412988670e-02
8.200000000000000000e+02 1.002836537206919409e+01 2.929015977321416941e-02
8.600000000000000000e+02 1.005902909498728626e+01 2.574080848968602481e-02
9.000000000000000000e+02 9.991607075215048539e+00 2.127220855456611603e-02
9.400000000000000000e+02 1.013623764026524476e+01 8.178652910471630177e-03
9.800000000000000000e+02 1.027349178921286388e+01 5.560634896794171972e-03
1.020000000000000000e+03 1.028212434995812607e+01 5.506308367075472138e-03
1.060000000000000000e+03 1.014189891117530351e+01 8.331169464732231245e-03
1.100000000000000000e+03 1.002379538026006323e+01 1.842142824664713685e-02
1.140000000000000000e+03 9.971135560021981092e+00 2.303087198745984443e-02
1.180000000000000000e+03 1.002173539535740510e+01 2.963960377025885370e-02
1.220000000000000000e+03 1.001489400193445967e+01 4.006078014705764107e-02
1.260000000000000000e+03 9.989779873076965799e+00 6.519572426946579347e-02
1.300000000000000000e+03 1.023247379590365469e+01 8.563634762517227661e-02
1.340000000000000000e+03 1.034858123579986433e+01 7.477294106299610388e-02
1.380000000000000000e+03 1.021383123101534096e+01 7.544454516354080764e-02
1.420000000000000000e+03 1.025332911033525107e+01 7.503814863207045049e-02
1.460000000000000000e+03 1.036974596015812011e+01 8.281258878330099993e-02
1.500000000000000000e+03 1.024992703087918144e+01 7.823486131581250391e-02
1.540000000000000000e+03 1.023265733687117596e+01 7.889441882707109999e-02
1.580000000000000000e+03 1.026668406372244569e+01 8.503083536832335698e-02
1.620000000000000000e+03 1.016221274514054684e+01 8.287028891923933771e-02
1.660000000000000000e+03 1.023243801538756337e+01 9.818216620031852693e-02
1.700000000000000000e+03 1.014038920649980469e+01 9.494231903044476895e-02
1.740000000000000000e+03 1.022642695627548370e+01 9.961334872951636832e-02
1.780000000000000000e+03 1.021563501545780817e+01 1.051678903736233822e-01
1.820000000000000000e+03 1.023173710466034869e+01 1.013956236387172638e-01
1.860000000000000000e+03 1.034559044205806089e+01 9.428370525539783720e-02
1.900000000000000000e+03 1.029804016819757528e+01 1.036867186603901148e-01
1.940000000000000000e+03 1.018026195929714461e+01 9.984212699446576300e-02
1.980000000000000000e+03 1.050587888962467353e+01 9.873029277215437938e-02
