# bin_center	<Rg>	+/-
2.000000000000000000e+01 1.035669453228101844e+01 1.455712546491636783e-01
6.000000000000000000e+01 1.020972918628722148e+01 1.483826492233682737e-01
1.000000000000000000e+02 1.013548292873946721e+01 1.646829242975173802e-01
1.400000000000000000e+02 1.016790936752421892e+01 1.581875519019831366e-01
1.800000000000000000e+02 1.024746641685647042e+01 1.649517561353904538e-01
2.200000000000000000e+02 1.026774521490756875e+01 1.483270098758565081e-01
2.600000000000000000e+02 1.028218199256779464e+01 1.470964628593534607e-01
3.000000000000000000e+02 1.006743140856941565e+01 1.313150237320328262e-01
3.400000000000000000e+02 1.048990124951834879e+01 1.315170218227111332e-01
3.800000000000000000e+02 1.019580443513200763e+01 1.284163969200283750e-01
4.200000000000000000e+02 1.029252408332747137e+01 1.351159281811280533e-01
4.600000000000000000e+02 1.044702334244015773e+01 1.208320439813416053e-01
5.000000000000000000e+02 1.049742665374058426e+01 1.252630767243412546e-01
5.400000000000000000e+02 1.043528222630702729e+01 1.474431023647666261e-01
5.800000000000000000e+02 1.041751394139162201e+01 1.326779817265069661e-01
6.200000000000000000e+02 1.030116162689084192e+01 1.235883065132094838e-01
6.600000000000000000e+02 1.035214203827582580e+01 1.031672137228805686e-01
7.000000000000000000e+02 9.809981541864450705e+00 1.145807720823811826e-01
7.400000000000000000e+02 9.888524747002433557e+00 7.917927503535308886e-02
7.800000000000000000e+02 9.910749791684962062e+00 4.373797221940636804e-02
8.200000000000000000e+02 9.953941400479768831e+00 3.416965320249697180e-02
8.600000000000000000e+02 9.969906775177701519e+00 2.926042823688683459e-02
9.000000000000000000e+02 9.967014854853452732e+00 2.483640258433839412e-02
9.400000000000000000e+02 1.012694725344020874e+01 8.168003627547503614e-03
9.800000000000000000e+02 1.027758870968147598e+01 5.232720566229075512e-03
1.020000000000000000e+03 1.026790883097353202e+01 5.257295676962495980e-03
1.060000000000000000e+03 1.012379419484739174e+01 8.008885460878087739e-03
1.100000000000000000e+03 9.950944371407992151e+00 2.864454091174372524e-02
1.140000000000000000e+03 9.890260535154901333e+00 3.435050049699006625e-02
1.180000000000000000e+03 9.960533521416591540e+00 4.392369808108140955e-02
1.220000000000000000e+03 1.003014429610249714e+01 6.582981555837556786e-02
1.260000000000000000e+03 9.869269186356442347e+00 1.263610257825777405e-01
1.300000000000000000e+03 1.027504877201947053e+01 2.096950879444350602e-01
1.340000000000000000e+03 1.014476436455123398e+01 1.549801629906570333e-01
1.380000000000000000e+03 1.053273681443374343e+01 1.702334392967319032e-01
1.420000000000000000e+03 1.023634713572373300e+01 1.479765784255137884e-01
1.460000000000000000e+03 1.021761520265255996e+01 1.388627275009988171e-01
1.500000000000000000e+03 9.882879509103632998e+00 1.441657743590817886e-01
1.540000000000000000e+03 1.005935784675177125e+01 1.741198918690866904e-01
1.580000000000000000e+03 1.006480950224206161e+01 1.837895555680148230e-01
1.620000000000000000e+03 1.054168375604965924e+01 1.849206262778972099e-01
1.660000000000000000e+03 1.057723901770279795e+01 2.256815154007777713e-01
1.700000000000000000e+03 1.036759854216257359e+01 2.294406012387368299e-01
1.740000000000000000e+03 1.046522043089992238e+01 2.430355018175689163e-01
1.780000000000000000e+03 9.808406094049598067e+00 1.795040113386067449e-01
1.820000000000000000e+03 9.955337017822552426e+00 1.840163411595234499e-01
1.860000000000000000e+03 1.016720500540635008e+01 1.824279663250892858e-01
1.900000000000000000e+03 1.047439356987823267e+01 2.191089674196399217e-01
1.940000000000000000e+03 1.037642721641150878e+01 1.549851470050490621e-01
1.980000000000000000e+03 1.016227685505675105e+01 1.572259094307220106e-01
